TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0032103	"positive regulation of response to external stimulus"	-7.941894189224562	4.543372616688624	0.11622673270066716	0.5897457981197034	0	null
GO:0009617	"response to bacterium"	-6.742269204602299	4.642622776409274	0.14606922606959327	0.7679614527752269	0.0073574	null
GO:0070372	"regulation of ERK1 and ERK2 cascade"	-6.236261818898296	4.004192356259714	0.0335811204918277	0.6920376392496569	0.58157583	null
GO:0070371	"ERK1 and ERK2 cascade"	-5.911256353900238	3.2755416884013098	0.006269850646503093	0.7593590157054808	0.20208346	null
GO:0034341	"response to type II interferon"	-5.378146581827444	3.622006673006805	0.013926718650879815	0.6117242897981963	0.61367953	null
GO:0035456	"response to interferon-beta"	-4.903968261442486	3.1149444157125847	0.004330687290051473	0.8241310852168666	0.65605104	null
GO:0002504	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	-4.62000397553637	3.4626974081017172	0.009649250252257546	0.7672584975939007	0.0061082	null
GO:0032496	"response to lipopolysaccharide"	-4.62000397553637	3.9273703630390235	0.028136162662477274	0.747173860719795	0.64302848	null
GO:1903901	"negative regulation of viral life cycle"	-4.579408309110803	2.9206450014067875	0.0027673823543186067	0.8055595401148553	0.13526949	null
GO:0002831	"regulation of response to biotic stimulus"	-4.177684145931906	4.611425889674207	0.1359443319751872	0.688107293791028	0.64245342	null
GO:0019882	"antigen processing and presentation"	-4.0641212973842835	3.911104317804036	0.027101720460322123	0.7745315192980585	0.59578294	null
GO:0034340	"response to type I interferon"	-3.693468844550205	3.04766419460156	0.003708691496472652	0.6358714768869642	0.67018276	null
GO:0001819	"positive regulation of cytokine production"	-3.6354258738158918	4.312029180025536	0.06822661881223949	0.6046084270040315	0.54099477	null
GO:0002761	"regulation of myeloid leukocyte differentiation"	-3.4531517645417495	3.6440444928147486	0.014651826046602718	0.5792994979681402	0.64553476	null
GO:0002548	"monocyte chemotaxis"	-3.281402294165933	2.942008053022313	0.002907081944320267	0.6750882436236649	0.67248869	null
GO:0006935	"chemotaxis"	-3.2031936384066912	5.227585935078577	0.5617320513966766	0.7648252565690934	0.66018781	null
GO:0002573	"myeloid leukocyte differentiation"	-3.1914050268242082	3.792181496149679	0.020609015705959237	0.9463344370935786	0.00641225	null
GO:0042100	"B cell proliferation"	-3.1799341832187795	3.25478968739721	0.005977146743642471	0.7304626544685608	0.54830962	null
GO:0030888	"regulation of B cell proliferation"	-3.116006408840482	3.3677285460869766	0.007753327245092154	0.5797057499827476	0.62101381	null
GO:0140888	"interferon-mediated signaling pathway"	-3.116006408840482	3.1051694279993316	0.004234228049336041	0.7009615980123893	0.65527117	null
GO:0060337	"type I interferon-mediated signaling pathway"	-3.097842627729117	2.8785217955012063	0.0025112664393155625	0.5432976741076492	0.65676303	null
GO:0050900	"leukocyte migration"	-3.0643988005672873	3.884682104206025	0.025501827536731678	0.7626457052877165	0.63090187	null
GO:0050792	"regulation of viral process"	-3.0504857984470104	3.7975445143617264	0.020865131620962284	0.8433588953750724	0.15320964	null
GO:0032606	"type I interferon production"	-3.0036978194407666	0.6020599913279624	0.000009978542142975744	0.9239577599990696	0.00427282	null
GO:0043903	"regulation of biological process involved in symbiotic interaction"	-2.8330436261044847	3.3382572302462554	0.007244421595800391	0.8521602680557632	0.14326048	null
GO:0002685	"regulation of leukocyte migration"	-2.8171212642357175	3.971554153446061	0.03114968238965595	0.5916762935988908	0.68734742	null
GO:0030522	"intracellular receptor signaling pathway"	-2.8125944056153473	4.413400361189813	0.08616471140459556	0.7263210204845978	0.27546329	null
GO:0071347	"cellular response to interleukin-1"	-2.7284174067872553	3.5241363765925686	0.01111609594727498	0.8072470790439205	0.69043997	null
GO:0070663	"regulation of leukocyte proliferation"	-2.709331992819932	4.01556930642988	0.03447253692326687	0.8001021532962704	0.69064695	null
GO:0072332	"intrinsic apoptotic signaling pathway by p53 class mediator"	-2.6355659436931194	3.345569756056392	0.007367490282230425	0.7372687147246968	0.32798168	null
GO:0035455	"response to interferon-alpha"	-2.597513283577445	2.82020145948564	0.002195279271454664	0.8299263522310683	0.63331625	null
GO:0019058	"viral life cycle"	-2.5804325855404775	4.593894981695562	0.13056589776012328	0.9696205978933202	0.00742239	null
GO:0002460	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	-2.459775805877239	3.9757533890362873	0.031452364834659546	0.7052806374279635	0.64892056	null
GO:0043068	"positive regulation of programmed cell death"	-2.4279466474460087	4.372691119105769	0.07845462450878962	0.6868659894139562	0.54642836	null
GO:0070555	"response to interleukin-1"	-2.256795198698833	3.589055531052344	0.012908907352296287	0.8139600533294999	0.6962287	null
GO:0006909	"phagocytosis"	-2.018390064727535	3.907411360774586	0.026872213991033685	0.9870824909441769	0.00652585	null
GO:0070482	"response to oxygen levels"	-1.959378342855568	4.060244426898225	0.038207837865454126	0.8715515450860496	0.65312022	null
GO:0001666	"response to hypoxia"	-1.911052890639456	4.012330955580147	0.03421642100826383	0.8527510072913789	0.22571877	null
GO:0071216	"cellular response to biotic stimulus"	-1.8981799104967982	3.8985057855343586	0.02632672035388434	0.8246529515624733	0.63198302	null
GO:0016032	"viral process"	-1.876477336405341	4.680126929448146	0.15924422787903558	0.9870318492837451	0.00753601	null
GO:0032602	"chemokine production"	-1.8488471394390507	0.3010299956639812	0.000003326180714325248	0.9267594210080117	0.62979183	null
GO:0061326	"renal tubule development"	-1.8241570614979197	3.6044420662607233	0.013374572652301823	0.8914648733634687	0.43754939	null
GO:0050731	"positive regulation of peptidyl-tyrosine phosphorylation"	-1.755580146024779	3.851074805228887	0.02360257834885196	0.6956335188634748	0.54228552	null
GO:0032608	"interferon-beta production"	-1.7546645220493282	0.6020599913279624	0.000009978542142975744	0.9239577599990696	0.65125234	null
GO:0070269	"pyroptosis"	-1.7546645220493282	2.8573324964312685	0.0023915239335998537	0.9727221326672106	0.57736143	null
GO:1902930	"regulation of alcohol biosynthetic process"	-1.7546645220493282	3.354876422516234	0.007527146956518036	0.8401066708368207	0.14359796	null
GO:0048662	"negative regulation of smooth muscle cell proliferation"	-1.7109292543491494	3.2203696324513946	0.005521459985779913	0.7995224113771443	0.62500117	null
GO:0008015	"blood circulation"	-1.7040235155073158	4.47418711581745	0.09911020674474942	0.9117416873162629	0.46157724	null
GO:0051090	"regulation of DNA-binding transcription factor activity"	-1.679177712018773	4.304081029459922	0.0669892795865105	0.8036475727969199	0.22880307	null
GO:0072331	"signal transduction by p53 class mediator"	-1.649173088808449	3.614264287358705	0.013680581278019747	0.7493424588570574	0.3418796	null
GO:0002577	"regulation of antigen processing and presentation"	-1.6448468589196166	2.815577748324267	0.002171996006454387	0.6733679693631395	0.13339636	null
GO:0002830	"positive regulation of type 2 immune response"	-1.6448468589196166	2.7075701760979363	0.0016930259835915514	0.5796009929545883	0.60746713	null
GO:0003352	"regulation of cilium movement"	-1.6448468589196166	3.4211101297934343	0.008767812362961354	0.8432564132334953	0.14495883	null
GO:0007186	"G protein-coupled receptor signaling pathway"	-1.6249793261529608	5.678597582760593	1.5868742522745753	0.6693761526271258	0.41156515	null
GO:0051091	"positive regulation of DNA-binding transcription factor activity"	-1.62020311080609	4.106700732362354	0.04252189425193398	0.805873833434343	0.63278913	null
GO:0002396	"MHC protein complex assembly"	-1.5937024243142366	2.7058637122839193	0.0016863736221629008	0.9789972408444999	0.00550786	null
GO:0019218	"regulation of steroid metabolic process"	-1.553571991859919	3.5487578285737045	0.011764701186568404	0.8364724966269917	0.19116802	null
GO:0046885	"regulation of hormone biosynthetic process"	-1.5505199502498372	3.062581984228163	0.0038384125443313368	0.8388840237835856	0.19552837	null
GO:0044703	"multi-organism reproductive process"	-1.5369366354677507	3.5835388192543522	0.012745924497294354	0.9888972791127737	0.00621631	null
GO:0050855	"regulation of B cell receptor signaling pathway"	-1.498475015148012	3.0644579892269186	0.003855043447902963	0.6057705155527582	0.55585743	null
GO:0140894	"endolysosomal toll-like receptor signaling pathway"	-1.4692036093825493	2.741151598851785	0.0018293993928788863	0.4119425843438332	0.65207396	null
GO:0044706	"multi-multicellular organism process"	-1.4557177712029457	3.8739015978644615	0.024876505562438533	0.918067396212348	0.48040256	null
GO:0097305	"response to alcohol"	-1.4499684253503622	4.338894551438355	0.07258058936729124	0.8123847131048714	0.66543461	null
GO:0010878	"cholesterol storage"	-1.4473904906940243	2.419955748489758	0.0008714593471532151	0.9890445236683577	0.1366302	null
GO:0035458	"cellular response to interferon-beta"	-1.4473904906940243	3.03261876085072	0.003582296629328292	0.8180609858625173	0.64953989	null
GO:0001959	"regulation of cytokine-mediated signaling pathway"	-1.446711204321036	3.777861624176242	0.019940453382379864	0.707042090029117	0.56173462	null
GO:1905332	"positive regulation of morphogenesis of an epithelium"	-1.399292002746446	3.144885418287142	0.004640022096483722	0.7212749538812444	0.45409873	null
